"","species","water.potential","fresh.weight","inv.water.potential","saturated.water.content","relative.water.content","relative.water.deficit","osm.pot.fullturgor","max.psip","osmotic.potential","pressure.potential","apoplastic.fraction","sym.rwc","sym.rwd","relative.water.deficit.attlp","relative.water.content.attlp","sym.rwd.attlp","sym.rwc.attlp","leaf.waterpotential.attlp","modulus","modulus_sym","cap.ft.bulk","cap.ft.sym","cap.tlp.bulk","cap.tlp.sym"
"1","acne",-1.55508333333333,1.10918310416667,1.08233791321807,1.37109993468932,79.3563975646385,20.6436024353615,-1.373750394984,1.373750394984,-1.8037421924171,0.248658859083768,-4.02830455266804,79.2976781703959,20.7023218296041,9.91264680341219,90.0873531965878,9.98025017202275,90.0197498279773,-1.514363208883,17.1751198111888,18.1455361538942,0.0759068593130988,0.0741665703805699,0.3399869449817,0.31974811382322
"2","alma",-1.58081176470588,1.18854941176471,2.33928328280394,1.39935289181518,84.9049319762738,15.0950680237262,-1.575181197393,1.575181197393,-2.13882664038324,0.558014875677359,34.4788919923517,76.7568222946807,23.2431777053193,23.9121088849921,76.0878911150079,36.9301714538153,63.0698285461847,-2.51207482076867,6.62861614028972,4.38074387131798,0.0898357042570531,0.138411119666635,NA,NA
"3","alrh",-1.53327142857143,0.224272678571429,1.04323468034227,0.36357802062773,62.3463182807361,37.6536817192639,-1.32685582522031,1.32685582522031,-1.8547645404409,0.321493111869469,-66.9822058121133,76.2239158693638,23.7760841306362,33.4536762745513,66.5463237254487,21.1961785663611,78.8038214336389,-1.69335715092887,4.25114623044532,7.41562789596648,0.214941757146224,0.133276984134541,0.601006041275321,0.32909159450861
"4","arba",-1.91271929824561,0.107609298245614,2.43144041658794,0.124099110899305,86.4325828847958,13.5674171152042,-2.0205507759364,2.0205507759364,-2.44135713476215,0.528637836516532,9.37323099223424,83.9560922736077,16.0439077263923,11.7063175875836,88.2936824124164,13.703774697736,86.296225302264,-2.34017260077878,17.5507830646105,15.5320984039977,0.0538319195851527,0.0629431294350785,0.257536045478996,0.279070082281547
"5","aruv",-1.22638709677419,0.0199306451612903,3.00601178991794,0.0273001313525584,73.2298287357051,26.7701712642949,-0.618450686824637,0.618450686824637,-1.2751134464046,0.0487263496304096,31.3261888389067,61.740296060033,38.259703939967,12.6315322738427,87.3684677261573,15.4688018624121,84.5311981375879,-0.756401477596892,12.3081554975159,7.6044394504093,0.0587658885776463,0.0937626405759354,0.392481611364786,0.549675711445777
"6","baga",-1.48564358974359,0.234168974358974,1.00190721860311,0.309793133830798,75.503191092979,24.4968089070211,-1.38632544483838,1.38632544483838,-1.78091878507286,0.295275195329274,-32.6476511855739,80.0146950099818,19.9853049900182,13.2851991385357,86.7148008614643,10.7761392746533,89.2238607253468,-1.54664828532813,10.8919799685787,14.4824863191563,0.136426651499193,0.106501083627556,0.373877511211578,0.304777654176086
"7","baga_mb",-1.48564358974359,0.234168974358974,1.00190721860311,0.309793133830798,75.503191092979,24.4968089070211,-1.38632544483838,1.38632544483838,-1.78091878507286,0.295275195329274,-32.6476511855739,80.0146950099818,19.9853049900182,13.2851991385357,86.7148008614643,10.7761392746533,89.2238607253468,-1.54664828532813,10.8919799685787,14.4824863191563,0.136426651499193,0.106501083627556,0.373877511211578,0.304777654176086
"8","beoc",-1.73516,0.521708769230769,0.842652964415408,0.611222625511992,85.0244245835136,14.9755754164864,-1.57016510836193,1.57016510836193,-2.13505231865894,0.399892318658936,34.4755617864269,76.415680005685,23.584319994315,13.2911196360982,86.7088803639018,21.399606971298,78.600393028702,-1.9990741098888,12.3269611717107,8.32293621558933,0.0836931108270311,0.13193467931822,0.149076066646698,0.22620524202856
"9","casa",-1.61976,0.226935,0.89845008774491,0.272236461496632,83.3802569814624,16.6197430185376,-1.84536599971047,1.84536599971047,-2.19047175820317,0.570711758203174,-24.8921689690407,85.3914472065894,14.6085527934106,13.2353119671784,86.7646880328216,11.8826917528603,88.1173082471397,-2.08936604760554,14.5170600065317,18.7503531058693,0.103613929780317,0.0890142431061612,0.355365270907314,0.279114860666761
"10","cebe",-2.23157407407407,0.0857425925925926,0.765527480214615,0.119715990356035,70.913388075148,29.086611924852,-1.78750118346999,1.78750118346999,-2.69362612912086,0.462052055046787,-18.2883617251623,75.4539352729816,24.5460647270184,20.531178113128,79.468821886872,17.4115476986797,82.5884523013203,-2.17825072427136,10.3669745090391,12.3400185595034,0.110910578472918,0.0951414892850622,0.198230667088952,0.169326101055851
"11","cece",-2.36206557377049,0.0774311475409836,0.501868174495265,0.0895081351811853,86.3029145232089,13.6970854767911,-1.89579620979326,1.89579620979326,-2.71607332237209,0.354007748601594,50.7309655349648,71.3261753992348,28.6738246007652,14.2843473148263,85.7156526851737,29.6703751472056,70.3296248527944,-2.692658338988,13.2586524881716,6.54396067000109,0.0586548190890273,0.121954088620275,0.0895081466839645,0.181432500641369
"12","ceoc",-1.9765,0.561991923076923,1.13830054589546,0.773952359982283,73.0324624808812,26.9675375191188,-1.86298611422427,1.86298611422427,-2.46321180339539,0.48671180339539,-27.3585396747029,77.974489864864,22.0255101351361,26.6466872426694,73.3533127573306,21.011119424817,78.988880575183,-2.37053623747508,12.7280881436747,11.6413501247035,0.136884206760271,0.107712748174114,0.285321934967815,0.218295222184052
"13","clis",-1.518625,0.36543296875,1.22092511612313,0.440279419560448,63.4409903652584,36.5590096347416,-1.31234110909087,1.31234110909087,-1.86859275642768,0.34996775642768,-41.5625140192239,74.7168780131687,25.2831219868313,28.7849865076706,71.2150134923294,19.7547790641196,80.2452209358804,-1.63648376966763,13.9034635482437,6.98621873993559,0.223996250504142,0.161699083016055,0.315372281769915,0.25899015497332
"14","clla",-1.2291186440678,0.498999491525424,1.57280542576901,0.63058633970762,79.5500792181632,20.4499207818368,-0.999155892680203,0.999155892680203,-1.45932458615277,0.230205942084976,24.5068013966365,72.2249479031032,27.7750520968968,19.0753054440455,80.9246945559545,25.3075368483757,74.6924631516243,-1.34068599380465,5.67634770408816,4.102745354431,0.142841896880024,0.190124733392008,0.257862259024065,0.331183240592343
"15","clli",-1.225875,0.766815703125,1.35100547388646,0.877197730198696,86.6417594715743,13.3582405284257,-1.20492563395999,1.20492563395999,-1.48075490853089,0.254879908530895,14.0665700022062,83.498801988076,16.501198011924,9.72476591992445,90.2752340800755,12.2142414453198,87.7857585546802,-1.3715591739105,13.2488189301505,11.245405969176,0.0825242683056438,0.104241036041823,0.363352964166364,0.415166346762228
"16","codi",-2.47954081632653,0.1541,0.789424174267002,0.172939054350128,89.2032634637217,10.7967365362783,-3.03772642631766,3.03772642631766,-3.59911484763156,1.11957403130503,19.7869985929148,86.5023302516234,13.4976697483766,6.62755936543186,93.3724406345681,8.15033938768591,91.8496606123141,-3.31151460275146,54.9430634309811,43.6034705569916,0.0415348832386217,0.0528297995545173,0.132193477769415,0.166370573064463
"17","enca",-1.1595,0.285478035714286,1.22450467529611,0.343363731453728,83.1665569301578,16.8334430698422,-0.999981905512473,0.999981905512473,-1.370371838211,0.210871838211003,32.0712518054451,75.2249950603533,24.7750049396467,15.4368173448988,84.5631826551012,22.7231515524007,77.2768484475993,-1.29262041762825,6.67482189783359,4.51164265888473,0.12931456053416,0.191989949883407,0.271563930433426,0.399936368589395
"18","enfa",-1.08061403508772,0.69237350877193,2.06982890642258,0.79470988932242,87.0815612304206,12.9184387695794,-0.958865815958335,0.958865815958335,-1.25898512283391,0.178371087746189,35.9992732174241,78.470234218469,21.529765781531,9.9778652152296,90.0221347847704,16.8878046278083,83.1121953721917,-1.15639349597551,10.0639053322507,6.62061370345533,0.0875686197230292,0.145645186177725,0.340810408867567,0.520694071725803
