"unique_id","leaf","saturated.water.content","osm.pot.fullturgor","apoplastic.fraction","relative.water.deficit.attlp","relative.water.content.attlp","sym.rwd.attlp","sym.rwc.attlp","leaf.waterpotential.attlp","modulus","modulus_sym","cap.ft.bulk","cap.ft.sym","cap.tlp.bulk","cap.tlp.sym"
"acne_1",1,2.07717869515216,-1.44838511045658,-37.060074522054,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne_2",2,1.58006235074738,-1.41094865840339,2.19548637263588,7.19205138277182,92.8079486172282,7.35349639401468,92.6465036059853,-1.52293783735648,19.6181671029665,19.18745291766,0.0741905050379035,0.0758559112318373,0.345466936853613,0.353221874984057
"acne_4",4,0.799832328083862,-1.51091442857012,11.3617521011584,7.95864051329997,92.0413594867,8.97878816646146,91.0212118335385,-1.65995859441348,18.984579414602,16.8275985640674,0.0707998380361205,0.0798750423371645,0.214466907146093,0.241957520855843
"acne_5",5,1.63242773175702,-1.60207268304797,-6.94440100216491,6.28609624739015,93.7139037526099,5.87791056706455,94.1220894329354,-1.70212188520261,25.4859712609891,27.2558193046487,0.0591980517084567,0.0553540448623003,0.332928124601503,0.311309541669941
"acne_6",6,0.857502685358274,-0.907614392331143,7.62491638267623,19.3543112915586,80.6456887084414,20.951874178254,79.048125821746,-1.1481795208881,4.68946881476996,4.33190073885207,0.0856528412736027,0.0927228836170056,0.281025707305058,0.304222411823999
"alma_1",1,1.27643328259843,-1.64582980303286,40.9812785001483,25.1575848632964,74.8424151367036,42.626448394616,57.373551605384,-2.86862109278662,6.54208188892585,3.86105309031738,0.0826101611982988,0.13997280710072,0.122050620120992,0.206799837440225
"alma_2",2,1.30101739345782,-1.76191324680789,31.2806585991562,28.3327056755919,71.6672943244081,41.2295943151225,58.7704056848775,-2.99795998730235,6.21865510121663,4.27341882954604,0.0865395770689316,0.125931906949081,NA,NA
"alma_3",3,0.950907515969676,-1.78240277449393,28.3843586152613,21.7808231075455,78.2191768924545,30.4135000209423,69.5864999790577,-2.56142035456641,8.18335820319141,5.86056446402615,0.0874445224743948,0.122102547409468,0.15897313481389,0.221981025010784
"alma_4",4,1.90460334536894,-1.59841419939479,28.1801104770936,21.8992151080995,78.1007848919005,30.4918529582462,69.5081470417538,-2.29960697763187,7.2989565676425,5.24210254320578,0.0915277099225584,0.127440616423347,0.213531126360543,0.297314751914842
"alma_5",5,1.87643695935705,-1.34481215646336,43.8326540603926,24.293678756351,75.706321243649,43.2523174274109,56.7476825725891,-2.36980982393974,5.53564641218361,3.10922567032463,0.0943836365418055,0.1680400506075,0.257085799380197,0.457713988580878
