"species","leaf","water.potential","fresh.weight","unique_id","inv.water.potential","saturated.water.content","relative.water.content","relative.water.deficit","osm.pot.fullturgor","max.psip","osmotic.potential","pressure.potential","apoplastic.fraction","sym.rwc","sym.rwd","relative.water.deficit.attlp","relative.water.content.attlp","sym.rwd.attlp","sym.rwc.attlp","leaf.waterpotential.attlp","modulus","modulus_sym","cap.ft.bulk","cap.ft.sym","cap.tlp.bulk","cap.tlp.sym"
"acne",1,-0.169,2.05799,"acne_1",5.91715976331361,2.07717869515216,99.0762135584701,0.923786441529884,-1.44838511045658,1.44838511045658,-1.45821348572683,1.28921348572683,-37.060074522054,99.3259988769514,0.674001123048612,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",1,-0.506,2.01776,"acne_1",1.97628458498024,2.07717869515216,97.1394519262672,2.8605480737328,-1.44838511045658,1.44838511045658,-1.47925835827937,0.973258358279372,-37.060074522054,97.9129238885154,2.08707611148461,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",1,-0.872,1.98562,"acne_1",1.14678899082569,2.07717869515216,95.5921608783179,4.40783912168213,-1.44838511045658,1.44838511045658,-1.4965128222427,0.624512822242695,-37.060074522054,96.7840093936525,3.21599060634749,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",1,-1.062,1.95377,"acne_1",0.941619585687382,2.07717869515216,94.0588310750451,5.94116892495489,-1.44838511045658,1.44838511045658,-1.51401333218728,0.452013332187275,-37.060074522054,95.6652811216742,4.3347188783258,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",1,-1.395,1.82123,"acne_1",0.716845878136201,2.07717869515216,87.6780608356175,12.3219391643825,-1.44838511045658,1.44838511045658,-1.59146014654294,0.196460146542939,-37.060074522054,91.0098260143586,8.99017398564145,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",1,-1.582,1.78724,"acne_1",0.632111251580278,2.07717869515216,86.0417066750762,13.9582933249238,-1.44838511045658,1.44838511045658,-1.6126149373738,0.0306149373737956,-37.060074522054,89.8159304424734,10.1840695575266,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",1,-1.812,1.59017,"acne_1",0.551876379690949,2.07717869515216,76.5543187839943,23.4456812160057,-1.44838511045658,1.44838511045658,-1.74727660289539,-0.0647233971046093,-37.060074522054,82.8938651188073,17.1061348811927,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",1,-1.974,1.30101,"acne_1",0.506585612968592,2.07717869515216,62.6335135747526,37.3664864252474,-1.44838511045658,1.44838511045658,-1.99125916686884,0.0172591668688433,-37.060074522054,72.7371471556913,27.2628528443087,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",1,-2.288,1.01573,"acne_1",0.437062937062937,2.07717869515216,48.899500190839,51.100499809161,-1.44838511045658,1.44838511045658,-2.30940848461454,0.0214084846145424,-37.060074522054,62.7167138297896,37.2832861702104,8.34312262181682,91.6568773781832,6.08720128812882,93.9127987118712,-1.54226594279263,17.3602280118613,23.7939414502557,0.0910341546117567,0.0664191632240127,0.547329281879172,0.399335316128916
"acne",2,-0.231,1.55763,"acne_2",4.32900432900433,1.58006235074738,98.5802869907782,1.41971300922178,-1.41094865840339,1.41094865840339,-1.43173141826628,1.20073141826628,2.19548637263588,98.548417699176,1.45158230082396,7.19205138277182,92.8079486172282,7.35349639401468,92.6465036059853,-1.52293783735648,19.6181671029665,19.18745291766,0.0741905050379035,0.0758559112318373,0.345466936853613,0.353221874984057
