species,family,leaf habit,habitat,spcode,individual,spcind,swc,pi_o,psi_tlp,af,rwc_tlp,rwc_tlp_sym,modulus,mod_sym,cap_ft,cap_tlp,cap_ft_sym,cap_tlp_sym
Monardella macrantha,Lamiaceae,E,Chaparral ,MOMA,1,MOMA1,6.439,-0.681,-0.802,59.23,93.834,84.875,11.075,4.515,0.076,0.155,0.187,0.38
Monardella macrantha,Lamiaceae,E,Chaparral ,MOMA,3,MOMA3,4.294,-0.989,-1.228,11.549,82.818,80.575,7.271,6.431,0.118,0.381,0.133,0.431
Monardella macrantha,Lamiaceae,E,Chaparral ,MOMA,4,MOMA4,7.537,-0.906,-1.132,16.294,83.256,79.997,6.341,5.307,0.13,0.403,0.156,0.482
Monardella macrantha,Lamiaceae,E,Chaparral ,MOMA,5,MOMA5,5.342,-0.863,-0.983,13.721,89.486,87.814,8.895,7.675,0.1,0.446,0.116,0.517
Monardella macrantha,Lamiaceae,E,Chaparral ,MOMA,6,MOMA6,6.676,-1.053,-1.343,19.526,82.631,78.417,5.631,5.118,0.14,0.415,0.135,0.516
Monardella villosa,Lamiaceae,E,Chaparral ,MOVI,1,MOVI1,4.243,-0.974,-1.165,25.775,87.842,83.62,7.874,5.844,0.106,0.311,0.142,0.419
Monardella villosa,Lamiaceae,E,Chaparral ,MOVI,2,MOVI2,5.016,-0.55,-0.967,77.426,90.252,56.819,6.36,1.436,0.097,0.079,0.429,0.348
Monardella villosa,Lamiaceae,E,Chaparral ,MOVI,3,MOVI3,6.472,-1.043,-1.185,-81.143,78.355,88.051,4.473,8.102,0.195,0.937,0.108,0.517
Monardella villosa,Lamiaceae,E,Chaparral ,MOVI,4,MOVI4,5.27,-0.86,-1.017,23.966,88.249,84.546,8.459,6.432,0.103,0.399,0.135,0.525
Monardella villosa,Lamiaceae,E,Chaparral ,MOVI,6,MOVI6,5.433,-0.824,-1.02,55.598,91.454,80.752,11.259,4.999,0.075,0.179,0.169,0.403
Platanus racemosa,Platanaceae,D,Woodland,PLRA,1,PLRA1,3.426,-0.926,-1.211,26.273,82.67,76.494,6.225,4.589,0.128,0.337,0.173,0.457
Platanus racemosa,Platanaceae,D,Woodland,PLRA,2,PLRA2,2.946,-0.852,-1.044,48.835,90.619,81.665,8.773,4.489,0.092,0.179,0.242,0.472
Platanus racemosa,Platanaceae,D,Woodland,PLRA,3,PLRA3,3.529,-0.753,-0.956,50.601,89.516,78.777,7.427,3.669,0.106,0.258,0.215,0.523
Platanus racemosa,Platanaceae,D,Woodland,PLRA,4,PLRA4,3.468,-0.833,-1.039,46.19,89.328,80.167,7.509,4.04,0.106,0.268,0.196,0.498
Platanus racemosa,Platanaceae,D,Woodland,PLRA,6,PLRA6,2.944,-0.965,-1.358,49.403,89.226,71.082,6.81,3.446,0.106,0.201,0.209,0.398
Platanus racemosa,Platanaceae,D,Woodland,PLRA_a,1,PLRA_a1,2.368,-1.244,-1.461,-6.57,84.126,85.105,7.547,8.043,0.114,0.184,0.107,0.173
Platanus racemosa,Platanaceae,D,Woodland,PLRA_a,2,PLRA_a2,1.879,-1.734,-2.176,-10.47,77.566,79.693,8.869,9.798,0.093,0.219,0.084,0.198
Platanus racemosa,Platanaceae,D,Woodland,PLRA_a,3,PLRA_a3,2.822,-1.989,-2.303,-74.563,76.2,86.366,9.786,17.082,0.09,0.335,0.052,0.192
Platanus racemosa,Platanaceae,D,Woodland,PLRA_a,4,PLRA_a4,1.925,-1.52,-1.675,9.553,91.636,90.753,16.395,14.829,0.055,0.163,0.061,0.181
Platanus racemosa,Platanaceae,D,Woodland,PLRA_a,5,PLRA_a5,2.961,-1.092,-1.392,-21.401,73.867,78.474,5.333,6.474,0.154,0.203,0.127,0.167
Platanus racemosa,Platanaceae,D,Woodland,PLRA_a,6,PLRA_a6,2.368,-1.244,-1.461,-6.57,84.126,85.105,7.547,8.043,0.114,0.184,0.107,0.173
Prunus ilicifolia,Rosaceae,E,Chaparral ,PRIL ,1,PRIL 1,1.472,-1.663,-1.988,-46.433,76.091,83.673,7.636,11.181,0.111,0.334,0.076,0.228
Prunus ilicifolia,Rosaceae,E,Chaparral ,PRIL ,3,PRIL 3,2.001,-2.081,-2.498,-30.593,78.236,83.335,11.637,15.197,0.074,0.263,0.057,0.202
Prunus ilicifolia,Rosaceae,E,Chaparral ,PRIL ,4,PRIL 4,1.586,-1.976,-2.149,-82.534,85.268,91.929,13.498,24.638,0.068,0.343,0.037,0.188
Prunus ilicifolia,Rosaceae,E,Chaparral ,PRIL ,5,PRIL 5,1.584,-1.03,-1.403,0.96,73.636,73.38,5.394,5.342,0.15,0.18,0.152,0.181
Prunus ilicifolia,Rosaceae,E,Chaparral ,PRIL ,6,PRIL 6,1.934,-2.112,-2.538,-8.614,81.786,83.231,12.399,13.467,0.067,0.14,0.062,0.129
Qualea rosea,Vochysiaceae,E,Tropical wet forest,QURO,H20_396_1,QUROH20_396_1,1.394,-1.817,-2.126,0.909,85.581,85.449,11.419,11.315,0.074,0.305,0.075,0.308
Qualea rosea,Vochysiaceae,E,Tropical wet forest,QURO,G21_373_1,QUROG21_373_1,2.085,-1.281,-1.664,19.05,81.372,76.988,9.478,7.673,0.088,0.175,0.109,0.216
Qualea rosea,Vochysiaceae,E,Tropical wet forest,QURO,G21_373_2,QUROG21_373_2,2.085,-1.281,-1.664,19.05,81.372,76.988,9.478,7.673,0.088,0.175,0.109,0.216
Qualea rosea,Vochysiaceae,E,Tropical wet forest,QURO,H20_475_1,QUROH20_475_1,1.641,-2.391,-2.986,25.199,85.085,80.06,15.361,11.49,0.052,0.14,0.069,0.187
Qualea rosea,Vochysiaceae,E,Tropical wet forest,QURO,H20_475_2,QUROH20_475_2,1.442,-1.605,-2.207,58.012,88.551,72.733,14.376,6.036,0.051,0.083,0.121,0.199
Quercus agrifolia,Fagaceae,E,Woodland,QUAG,1,QUAG1,0.905,-1.947,-2.722,65.921,90.292,71.513,15.697,5.35,0.042,0.052,0.124,0.154
Quercus agrifolia,Fagaceae,E,Woodland,QUAG,2,QUAG2,0.898,-2.441,-3.3,38.301,83.948,73.984,14.024,8.653,0.052,0.092,0.084,0.15
Quercus agrifolia,Fagaceae,E,Woodland,QUAG,3,QUAG3,0.975,-2.569,-3.208,24.548,84.975,80.086,17.134,12.928,0.047,0.102,0.062,0.135
Quercus agrifolia,Fagaceae,E,Woodland,QUAG,4,QUAG4,0.917,-1.98,-2.7,70.538,92.146,73.342,22.398,6.599,0.032,0.026,0.108,0.089
Quercus agrifolia,Fagaceae,E,Woodland,QUAG,5,QUAG5,0.913,-2.66,-3.288,12.104,83.226,80.916,17.253,15.165,0.048,0.13,0.055,0.148
Quercus agrifolia,Fagaceae,E,Woodland,QUAG,6,QUAG6,0.948,-2.261,-2.795,50.952,90.626,80.889,20.793,10.199,0.038,0.081,0.077,0.165
Quercus agrifolia,Fagaceae,E,Chaparral ,QUAG_a,1,QUAG_a1,1.011,-2.102,-2.747,-24.487,70.777,76.525,8.516,10.602,0.092,0.243,0.074,0.195
Quercus agrifolia,Fagaceae,E,Chaparral ,QUAG_a,2,QUAG_a2,1.365,-2.092,-3.035,-20.828,62.484,68.951,5.081,6.139,0.132,0.22,0.109,0.182
Quercus agrifolia,Fagaceae,E,Chaparral ,QUAG_a,3,QUAG_a3,1.492,-2.046,-2.981,51.066,84.657,68.645,13.397,6.556,0.05,0.065,0.103,0.132
Quercus agrifolia,Fagaceae,E,Chaparral ,QUAG_a,4,QUAG_a4,1.094,-2.198,-2.7,-31.277,75.61,81.421,8.753,11.49,0.092,0.295,0.07,0.225
Quercus agrifolia,Fagaceae,E,Chaparral ,QUAG_a,5,QUAG_a5,0.856,-2.454,-3.508,13.702,74.072,69.955,8.689,7.499,0.077,0.09,0.09,0.104
Quercus berberidifolia,Fagaceae,E,Chaparral ,QUBE,1,QUBE1,1.007,-1.155,-1.904,20.919,68.874,60.641,4.137,3.272,0.152,0.078,0.192,0.099
Quercus berberidifolia,Fagaceae,E,Chaparral ,QUBE,2,QUBE2,1.225,-1.031,-2.259,13.468,52.979,45.66,1.844,1.595,0.22,0.07,0.255,0.081
Quercus berberidifolia,Fagaceae,E,Chaparral ,QUBE,4,QUBE4,1.43,-2.016,-3.12,2.834,65.62,64.617,6.114,5.94,0.11,0.09,0.113,0.093
Quercus berberidifolia,Fagaceae,E,Chaparral ,QUBE,5,QUBE5,1.267,-1.179,-1.946,-11.701,55.961,60.575,2.651,2.961,0.217,0.179,0.194,0.161
Quercus berberidifolia,Fagaceae,E,Chaparral ,QUBE,6,QUBE6,1.007,-1.182,-2.658,1.894,45.526,44.475,2.416,2.37,0.193,0.066,0.197,0.067
Quercus engelmannii,Fagaceae,E,Woodland,QUEN,1,QUEN1,1.405,-1.663,-2.105,-10.919,76.725,79.016,6.613,7.335,0.116,0.209,0.105,0.188
Quercus engelmannii,Fagaceae,E,Woodland,QUEN,2,QUEN2,1.713,-1.63,-2.178,-34.411,66.167,74.828,4.576,6.151,0.155,0.273,0.115,0.203
Quercus engelmannii,Fagaceae,E,Woodland,QUEN,3,QUEN3,1.515,-1.818,-2.246,-21.695,76.813,80.947,7.165,8.72,0.111,0.26,0.091,0.213
Quercus engelmannii,Fagaceae,E,Woodland,QUEN,4,QUEN4,1.572,-1.831,-2.313,-15.591,75.944,79.189,8.445,9.761,0.095,0.203,0.083,0.176
Quercus engelmannii,Fagaceae,E,Woodland,QUEN,5,QUEN5,1.367,-2.244,-2.782,-39.395,73.075,80.684,8.117,11.315,0.098,0.273,0.071,0.196
Quercus engelmannii,Fagaceae,E,Woodland,QUEN,6,QUEN6,1.849,-1.727,-2.568,-64.492,46.142,67.258,3.24,5.329,0.197,0.303,0.12,0.184
Raphiolepis indica,Rosaceae,E,Woodland,RAIN,1,RAIN1,1.463,-1.847,-2.55,62.996,89.804,72.447,18.303,6.773,0.04,0.079,0.108,0.212
Raphiolepis indica,Rosaceae,E,Woodland,RAIN,2,RAIN2,1.444,-1.52,-2.004,72.118,93.27,75.863,19.508,5.439,0.038,0.071,0.146,0.256
Raphiolepis indica,Rosaceae,E,Woodland,RAIN,3,RAIN3,1.465,-0.954,-1.4,82.627,94.459,68.104,14.91,2.59,0.044,0.047,0.252,0.27
Raphiolepis indica,Rosaceae,E,Woodland,RAIN,4,RAIN4,1.38,-1.035,-1.619,74.566,99.053,96.278,10.352,2.633,0.061,0.059,0.238,0.232
Raphiolepis indica,Rosaceae,E,Woodland,RAIN,5,RAIN5,1.315,-1.232,-1.735,70.598,91.481,71.025,13.366,3.93,0.052,0.068,0.177,0.232
Raphiolepis indica,Rosaceae,E,Woodland,RAIN,6,RAIN6,1.588,-1.692,-2.402,48.745,84.85,70.443,11.232,5.757,0.063,0.123,0.121,0.237
Rhus integrifolia,Anacardiaceae,E,Chaparral ,RHIN,1,RHIN1,1.818,-2.478,-3.433,-12.228,68.79,72.191,7.239,8.125,0.093,0.174,0.083,0.155
Rhus integrifolia,Anacardiaceae,E,Chaparral ,RHIN,2,RHIN2,1.582,-1.075,-1.781,42.088,77.052,60.375,5.964,3.454,0.117,0.086,0.203,0.148
Rhus integrifolia,Anacardiaceae,E,Chaparral ,RHIN,3,RHIN3,1.564,-2.932,-3.691,-28.744,73.521,79.433,11.039,14.212,0.071,0.197,0.055,0.153
Rhus integrifolia,Anacardiaceae,E,Chaparral ,RHIN,4,RHIN4,1.749,-0.559,-0.777,47.108,85.132,71.89,3.108,1.644,0.212,0.126,0.401,0.239
Rhus integrifolia,Anacardiaceae,E,Chaparral ,RHIN,5,RHIN5,1.585,-2.456,-3.184,-23.915,71.669,77.136,9.554,11.839,0.082,0.164,0.067,0.132
Romneya coulteri,Papaveraceae,E,Chaparral ,ROCO,1,ROCO1,2.747,-0.955,-1.317,53.361,87.184,72.522,5.638,2.629,0.119,0.165,0.254,0.354
Romneya coulteri,Papaveraceae,E,Chaparral ,ROCO,2,ROCO2,2.653,-1.075,-1.486,54.036,87.288,72.343,7.086,3.257,0.097,0.169,0.212,0.212
Romneya coulteri,Papaveraceae,E,Chaparral ,ROCO,4,ROCO4,2.664,-0.886,-1.278,61.606,88.219,69.315,6.849,2.63,0.099,0.13,0.257,0.338
Romneya coulteri,Papaveraceae,E,Chaparral ,ROCO,5,ROCO5,2.666,-0.803,-1.265,68.04,88.321,63.458,6.505,2.079,0.095,0.101,0.298,0.317
Romneya coulteri,Papaveraceae,E,Chaparral ,ROCO,6,ROCO6,2.658,-0.976,-1.373,57.822,87.792,71.055,6.69,2.822,0.1,0.159,0.238,0.378
Ruscus aculeatus,Asparagaceae,E,Woodland,RUAC,1,RUAC1,1.802,-1.003,-1.543,83.599,94.26,65.001,16.315,2.676,0.039,0.043,0.236,0.265
Ruscus aculeatus,Asparagaceae,E,Woodland,RUAC,2,RUAC2,1.287,-1.177,-1.569,60.957,90.252,75.034,11.507,4.493,0.064,0.123,0.164,0.316
Ruscus aculeatus,Asparagaceae,E,Woodland,RUAC,3,RUAC3,1.415,-1.496,-1.941,51.526,88.877,77.052,14.365,6.963,0.054,0.162,0.112,0.334
Ruscus aculeatus,Asparagaceae,E,Woodland,RUAC,4,RUAC4,2.02,-1.754,-2.209,67.407,93.286,79.4,25.757,8.395,0.031,0.092,0.094,0.283
Ruscus aculeatus,Asparagaceae,E,Woodland,RUAC,5,RUAC5,1.434,-1.312,-1.93,59.575,87.058,67.986,9.946,4.021,0.068,0.105,0.169,0.26
Ruscus aculeatus,Asparagaceae,E,Woodland,RUAC,6,RUAC6,1.404,-1.393,-1.854,61.851,90.513,75.133,14.862,5.67,0.051,0.112,0.133,0.293
Salvia apiana,Lamiaceae,E,Chaparral ,SAAP,1,SAAP1,5.879,-0.868,-1.06,-5.175,81.019,81.953,5.577,5.865,0.153,0.648,0.146,0.616
Salvia apiana,Lamiaceae,E,Chaparral ,SAAP,2,SAAP2,5.221,-0.924,-1.135,8.908,83.057,81.4,6.504,5.925,0.13,0.502,0.143,0.552
Salvia apiana,Lamiaceae,E,Chaparral ,SAAP,3,SAAP3,5.689,-0.942,-1.163,-2.58,80.541,81.031,5.779,5.928,0.147,0.524,0.143,0.51
Salvia apiana,Lamiaceae,E,Chaparral ,SAAP,4,SAAP4,6.077,-0.754,-0.936,10.409,82.532,80.502,5.447,4.88,0.155,0.551,0.174,0.615
Salvia apiana,Lamiaceae,E,Chaparral ,SAAP,5,SAAP5,4.745,-0.881,-1.064,16.567,85.665,82.819,7.186,5.995,0.119,0.495,0.007,0.593
Salvia apiana,Lamiaceae,E,Chaparral ,SAAP,6,SAAP6,4.809,-0.987,-1.158,18.5,87.947,85.211,9.018,7.349,0.096,0.413,0.118,0.506
Salvia canariensis,Lamiaceae,E,Chaparral ,SACA,1,SACA1,4.882,-1.031,-1.396,20.815,79.269,73.819,5.21,4.125,0.141,0.322,0.178,0.407
Salvia canariensis,Lamiaceae,E,Chaparral ,SACA,2,SACA2,5.116,-1.033,-1.3,23.087,84.218,79.481,6.266,4.82,0.125,0.298,0.162,0.388
Salvia canariensis,Lamiaceae,E,Chaparral ,SACA,3,SACA3,5.356,-0.908,-1.133,20.262,84.179,80.159,5.774,4.604,0.137,0.381,0.172,0.478
Salvia canariensis,Lamiaceae,E,Chaparral ,SACA,4,SACA4,5.037,-0.769,-0.978,29.162,84.845,78.607,5.183,3.672,0.151,0.368,0.214,0.519
Salvia canariensis,Lamiaceae,E,Chaparral ,SACA,5,SACA5,5.525,-0.94,-1.197,15.325,81.822,78.532,5.011,4.243,0.154,0.383,0.182,0.452
Salvia canariensis,Lamiaceae,E,Chaparral ,SACA,6,SACA6,5.488,-0.862,-1.089,23.188,84,79.17,5.487,4.215,0.144,0.187,0.328,0.427
Salvia leucophylla,Lamiaceae,E,Chaparral ,SALE,1,SALE1,3.343,-0.844,-1.169,-35.496,62.36,72.221,1.871,2.536,0.365,0.414,0.27,0.305
Salvia leucophylla,Lamiaceae,E,Chaparral ,SALE,2,SALE2,4.045,-0.603,-1.201,4.893,52.614,50.176,1.051,1,0.418,0.229,0.44,0.24
Salvia leucophylla,Lamiaceae,E,Chaparral ,SALE,3,SALE3,3.806,-0.945,-1.234,-11.567,73.891,76.598,4.224,4.713,0.189,0.294,0.17,0.263
Salvia leucophylla,Lamiaceae,E,Chaparral ,SALE,4,SALE4,4.046,-0.74,-1.16,-11.413,59.635,63.77,1.881,2.095,0.343,0.295,0.308,0.264
Salvia leucophylla,Lamiaceae,E,Chaparral ,SALE,5,SALE5,3.785,-0.871,-1.259,6.144,71.08,69.186,2.868,2.692,0.253,0.261,0.27,0.278
Salvia leucophylla,Lamiaceae,E,Chaparral ,SALE,6,SALE6,3.502,-0.795,-1.205,2.544,66.857,65.992,1.961,1.911,0.321,0.299,0.33,0.307
Salvia mellifera,Lamiaceae,E,Chaparral ,SAME,1,SAME1,5.986,-1.036,-1.205,-4.375,85.308,85.924,8.663,9.042,0.104,0.648,0.099,0.621
Salvia mellifera,Lamiaceae,E,Chaparral ,SAME,2,SAME2,5.675,-1.004,-1.146,21.722,90.303,87.612,11.644,9.115,0.077,0.487,0.098,0.623
Salvia mellifera,Lamiaceae,E,Chaparral ,SAME,3,SAME3,6.184,-1.035,-1.218,21.413,88.177,84.955,9.859,7.748,0.088,0.417,0.112,0.53
Salvia mellifera,Lamiaceae,E,Chaparral ,SAME,5,SAME5,6.668,-1.003,-1.146,17.754,89.748,87.535,11.183,9.198,0.08,0.481,0.013,0.585
Salvia mellifera,Lamiaceae,E,Chaparral ,SAME,6,SAME6,19.769,-0.96,-1.05,-25.499,89.311,91.483,10.349,12.988,0.09,0.82,0.071,0.653
Saprosma ternata ,Rubiaceae,E,Tropical wet forest,SAPRTE,604071,SAPRTE604071,2.687,-0.891,-1.085,0.003,82.169,82.171,5.372,5.385,0.156,0.399,0.5,
Saprosma ternata ,Rubiaceae,E,Tropical wet forest,SAPRTE,1409175,SAPRTE1409175,2.805,-1.221,-1.422,-0.057,85.065,85.017,9.324,8.819,0.094,0.292,0.773,
Saprosma ternata ,Rubiaceae,E,Tropical wet forest,SAPRTE,1509057,SAPRTE1509057,2.85,-1.056,-1.233,0.032,86.161,86.188,7.632,7.881,0.112,0.515,0.949,
Saprosma ternata ,Rubiaceae,E,Tropical wet forest,SAPRTE,1509076,SAPRTE1509076,3.21,-1.059,-1.172,-0.469,85.232,84.838,8.067,5.49,0.114,0.977,0.972,
Saprosma ternata ,Rubiaceae,E,Tropical wet forest,SAPRTE,1509082,SAPRTE1509082,3.184,-1.119,-1.334,-0.687,72.734,72.244,4.174,2.474,0.2,0.827,1.954,
Sloanea tomentosa,Elaeaocarpaceae,E,Tropical wet forest,SLOATO,408117,SLOATO408117,2.062,-1.312,-1.667,0.101,80.825,80.906,7.346,8.169,0.108,0.144,0.889,
Sloanea tomentosa,Elaeaocarpaceae,E,Tropical wet forest,SLOATO,617094,SLOATO617094,1.349,-1.052,-1.405,0.336,83.307,83.584,5.458,8.216,0.132,0.272,0.862,
Sloanea tomentosa,Elaeaocarpaceae,E,Tropical wet forest,SLOATO,719191,SLOATO719191,1.496,-1.07,-1.471,0.296,80.803,81.04,5.751,8.167,0.125,0.281,0.708,
Sloanea tomentosa,Elaeaocarpaceae,E,Tropical wet forest,SLOATO,920024,SLOATO920024,1.32,-1.085,-1.499,-0.032,71.516,71.493,4.364,4.228,0.173,0.284,1.3,
Sloanea tomentosa,Elaeaocarpaceae,E,Tropical wet forest,SLOATO,1020023,SLOATO1020023,1.704,-0.977,-1.232,0.246,84.406,84.611,6.873,9.11,0.118,0.34,0.582,
Sloanea tomentosa,Elaeaocarpaceae,E,Tropical wet forest,SLOATO,1511057,SLOATO1511057,1.292,-1.208,-1.447,0.324,88.86,89.145,10.55,15.6,0.079,0.165,0.468,
Umbellularia californica,Lauraceae,E,Woodland,UMCA,1,UMCA1,1.64,-2.324,-2.561,-13.988,89.485,90.776,22.033,25.115,0.041,0.289,0.036,0.253
Umbellularia californica,Lauraceae,E,Woodland,UMCA,2,UMCA2,1.537,-2.043,-2.333,-10.607,86.252,87.57,15.155,16.762,0.058,0.162,0.052,0.147
Umbellularia californica,Lauraceae,E,Woodland,UMCA,3,UMCA3,1.606,-2.156,-2.476,-26.181,83.655,87.047,11.511,14.525,0.074,0.313,0.059,0.248
Umbellularia californica,Lauraceae,E,Woodland,UMCA,4,UMCA4,1.585,-2.139,-2.456,7.385,88.038,87.084,14.725,13.637,0.057,0.208,0.062,0.225
Umbellularia californica,Lauraceae,E,Woodland,UMCA,5,UMCA5,1.61,-1.95,-2.235,16.71,89.393,87.265,15.404,12.83,0.055,0.177,0.066,0.212
Umbellularia californica,Lauraceae,E,Woodland,UMCA,6,UMCA6,1.652,-1.95,-2.284,4.037,85.972,85.382,11.275,10.82,0.073,0.189,0.076,0.197
Vitis californica,Vitaceae,D,Woodland,VICA,2,VICA2,8.53,-0.518,-0.716,41.256,83.73,72.303,3.169,1.861,0.226,0.309,0.385,0.526
Vitis californica,Vitaceae,D,Woodland,VICA,3,VICA3,5.554,-0.561,-0.833,61.604,87.437,67.281,4.097,1.573,0.16,0.178,0.417,0.462
Vitis californica,Vitaceae,D,Woodland,VICA,4,VICA4,3.294,-0.659,-0.821,60.944,92.293,80.266,9.115,3.56,0.089,0.17,0.227,0.436
Vitis californica,Vitaceae,D,Woodland,VICA,5,VICA5,4.79,-0.392,-0.613,60.489,85.758,63.954,3.093,1.222,0.21,0.205,0.532,0.519
Vitis californica,Vitaceae,D,Woodland,VICA,6,VICA6,4.599,-0.868,-1.168,20.036,79.453,74.304,4.65,3.719,0.165,0.289,0.207,0.362
Vitis giradiana,Vitaceae,D,Woodland,VIGI,1,VIGI1,3.77,-0.884,-1.199,46.848,86.459,73.78,6.602,3.399,0.116,0.249,0.225,0.454
Vitis giradiana,Vitaceae,D,Woodland,VIGI,2,VIGI2,2.839,-1.055,-1.421,74.042,93.309,74.224,15.745,4.087,0.047,0.088,0.253,0.338
Vitis giradiana,Vitaceae,D,Woodland,VIGI,3,VIGI3,2.929,-1.191,-1.607,50.217,87.12,74.129,8.766,4.364,0.083,0.157,0.167,0.315
Vitis giradiana,Vitaceae,D,Woodland,VIGI,4,VIGI4,3.414,-1.208,-1.505,56.644,91.452,80.285,14.289,6.195,0.056,0.176,0.13,0.407
Vitis giradiana,Vitaceae,D,Woodland,VIGI,5,VIGI5,2.312,-1.083,-1.379,67.747,93.09,78.574,17.308,5.582,0.047,0.122,0.144,0.379
